cod_setor,pop,renda_mensal_total
330010005000001,409,607365
330010005000002,143,247070
330010005000003,1055,1516888
330010005000004,219,386162
330010005000005,709,420537
330010005000006,740,530913
330010005000007,1186,608788
330010005000008,829,572799
330010005000009,664,800334
330010005000010,534,680235
330010005000011,905,726096
330010005000012,990,548888
330010005000013,677,598574
330010005000014,607,315942
330010005000015,871,862231
330010005000016,529,302888
330010005000017,777,472415
330010005000018,1149,659384
330010005000019,1214,596169
330010005000020,658,567604
330010005000021,950,695165
330010005000022,904,1530032
330010005000023,1147,2372754
330010005000024,396,964549
330010005000025,760,490925
330010005000026,489,182151
330010005000027,192,47089
330010005000028,1436,676208
330010005000029,832,437449
330010005000030,215,157118
330010005000031,1185,1594683
330010005000032,621,1247018
330010005000033,71,186900
330010005000034,69,61650
330010005000035,563,709558
330010005000036,206,336343
330010005000037,592,443468
330010005000038,150,172321
330010005000040,35,23060
330010005000041,509,338272
330010005000044,410,241250
330010005000045,1587,723398
330010005000046,1069,706205
330010005000047,528,356602
330010005000048,1166,784566
330010005000049,510,433975
330010005000050,268,177818
330010005000051,863,348521
330010005000052,600,368855
330010005000053,167,98221
330010005000054,1017,496122
330010005000055,1191,1167342
330010005000056,1046,559240
330010005000057,804,423693
330010005000058,795,627006
330010005000059,513,350323
330010005000060,1349,668687
330010005000061,793,533254
330010005000062,1074,1159343
330010005000063,585,596115
330010005000064,500,524386
330010005000065,887,902436
330010005000066,66,47760
330010005000067,941,629100
330010005000068,1003,943579
330010005000069,805,485417
330010005000070,286,223043
330010005000071,864,1534598
330010005000072,729,916741
330010005000073,707,382100
330010005000074,305,131754
330010005000075,1073,517989
330010005000076,827,502317
330010005000077,715,325308
330010005000078,877,428064
330010005000079,926,506163
330010005000080,592,422339
330010005000081,390,278591
330010005000082,214,250301
330010005000083,296,161676
330010005000084,73,17450
330010005000085,16,6030
330010005000086,544,444110
330010005000087,374,149782
330010005000088,517,218357
330010005000089,169,137400
330010005000090,575,535327
330010005000091,28,15890
330010005000092,1363,590909
330010005000093,469,383448
330010005000094,731,330285
330010005000095,235,121392
330010005000096,55,25170
330010005000097,26,14432
330010005000098,842,436155
330010005000099,696,495164
330010005000100,538,421235
330010005000101,675,921003
330010005000102,732,311489
330010005000103,384,269128
330010005000104,861,430350
330010005000105,455,245957
330010005000106,587,439562
330010005000107,597,340090
330010005000108,297,252168
330010010000001,518,409101
330010010000002,975,765112
330010010000003,408,327213
330010010000004,423,169018
330010010000005,33,33620
330010010000007,40,22270
330010010000008,117,74685
330010010000009,2,X
330010010000010,7,X
330010010000011,152,56915
330010010000012,107,66535
330010010000013,48,18920
330010010000014,31,18520
330010010000015,106,38008
330010010000016,274,101866
330010010000018,187,78188
330010010000019,40,3662
330010010000020,982,203934
330010010000021,3,X
330010010000022,92,24174
330010010000023,253,94083
330010010000024,11,10240
330010010000031,116,70725
330010015000001,634,495234
330010015000002,756,475615
330010015000003,182,603220
330010015000004,148,191932
330010015000005,132,66143
330010015000006,1090,466076
330010015000007,1010,510535
330010015000008,988,488421
330010015000009,963,506544
330010015000010,936,524566
330010015000011,634,421323
330010015000012,420,372613
330010015000013,378,164542
330010015000014,1357,503804
330010015000015,4,X
330010015000016,16,X
330010015000017,302,801049
330010015000018,79,134013
330010015000019,2164,694634
330010015000020,617,942422
330010015000021,15,25350
330010015000022,363,458858
330010015000023,166,252938
330010015000024,343,250610
330010015000025,1234,564053
330010015000026,1268,1955191
330010015000027,333,168893
330010015000028,1353,679913
330010015000029,665,397595
330010015000030,868,476281
330010015000031,891,401482
330010015000032,758,246650
330010015000033,1414,542044
330010015000034,1327,407133
330010015000035,902,501347
330010015000036,1448,716994
330010015000037,860,494124
330010015000038,1372,693642
330010015000039,1471,775170
330010015000040,1140,455300
330010015000041,946,470179
