route_id,fare_id,route_short_name,route_long_name,actual_price
18904773,50188654,2195C,Guapimirim - Castelo,19.45
19023642,19828295,3404I,Piabetá - Penha,10.05
19107590,41526222,2740D,Charitas - Leme,11.4
41170440,19828286,2469C,Santa Cruz da Serra - Central,12.8
19004493,34676965,1906B,Paracambi - Passeio,29.8
39807059,24309028,4110D,São Gonçalo - Passeio,14.7
31990706,34663979,3413M,Venda das Pedras - Alcântara,4.3
40414007,24309023,2565D,Santa Rosa - Passeio,22.1
18917002,24309028,2535D,Alcântara - Estácio (via Dr. March),14.7
36745133,34578029,1133B,Central - Nova Iguaçu,13.05
19059650,24309030,2424D,Alcântara - Campo Grande (via Água Branca),18.4
18893228,34663979,1401M,Luiz Caçador - Niterói (via Porto Velho),5.15
19042136,19828274,1512B,Vilar dos Teles - Castelo,16.6
19091975,50188644,1471C,Saracuruna - Passeio,20.3
19030057,34576963,4469C,Santa Cruz da Serra - Passeio,12.8
18945047,30174539,1955B,Nova Iguaçu - Castelo (via Plínio Casado),21.6
19037557,33119700,1941D,Nova Iguaçu - Niterói (via PPCS/Via Dutra),21.4
19063530,30174568,2100D,Niterói - Castelo,9.5
26541174,34663189,1487L,Duque de Caxias - Usina,15.25
30753273,50188644,3461C,Piabetá - Central (via Imbariê),20.3
18881967,39695499,1484M,Alcântara - Niterói,8.95
44529483,30174554,2462C,Piabetá - Passeio (via Praça da Cruz Vermelha),14.65
19023301,34663189,1404I,Duque de Caxias - Piabetá (via Maracanã),7.85
19001131,19828275,1926D,Venda das Pedras - Candelária (via PPCS),26.65
18886264,24309030,1721D,Alcântara - Candelária,20.5
19062607,24309028,2533D,Alcântara - Méier (via PPCS),15.55
33940298,24309041,7721D,Santa Izabel - Candelária,20.5
19029571,24309056,2470C,Taquara - Praça Mauá,12.8
39746682,39695499,1400M,Bairro das Palmeiras - Niterói (via Nova Cidade),4.3
49905536,34684081,6146D,Itaipuaçu Rua 128- Castelo,33.5
29134995,30175956,1910D,Itaipu - Castelo,31.55
29210019,30174568,1102C,Duque de Caxias - Praça Mauá (via 25 de Agosto),8.6
48047877,34676965,1522B,Parque São Vicente - Central,12.5
39772244,36682931,2417C,Vilar dos Teles - Praça XV,11.4
49746445,49741401,1901T,Conceição de Jacareí - Duque de Caxias,28.65
19054872,24309028,2520D,Jardim Alcântara - Estácio (via Dr. March),14.7
31232840,30174554,2462C,Piabetá - Praça Mauá (via Imbariê),14.65
31990460,49741401,1900T,Conceição de Jacareí - Duque de Caxias (via Campo Grande/BR-101),28.65
29321814,24309028,2545D,Alcântara - Castelo (via Dr. March),14.05
31990160,36752091,1900D,Charitas - Galeão (via Terminal Rodoviário Novo Rio),16.4
31991500,49668474,1945I,Nova Iguaçu - Niterói (via Magé),40.1
36736421,39695499,3400M,Bairro das Palmeiras - Niterói (via BR-101),4.3
44557556,30174579,2146D,Maricá - Castelo,33.5
25615572,34576963,2486C,Xerém - Passeio (via Central do Brasil),12.8
39733933,39695499,3409M,Alcântara - Trindade (via BR-101),4.3
19035683,33119700,1940D,Nova Iguaçu - Niterói (via São João/PPCS),21.4
28991056,30174539,1956B,Cabuçu - Castelo,21.6
30679782,50188644,3471C,Saracuruna - Central,20.3
19043410,19828274,1140B,Éden - Castelo,16.6
18888033,24309041,3721D,Alcântara - Botafogo,20.5
29310598,50188644,1461C,Piabetá - Passeio (via Imbariê),20.3
18945903,30174539,1960B,Nova Iguaçu - Castelo (via Plínio Casado/Vila Nova),21.6
49737372,49741401,1900T,Conceição de Jacareí - Duque de Caxias (via Campo Grande/BR-101),28.65
36737076,39695499,5400M,Niterói - Nova Cidade,4.3
18897732,19828275,1750D,Charitas - Gávea (via Túnel Santa Bárbara),30.65
18899550,24309023,2905D,Charitas - Castelo,22.75
33955013,34688257,2590R,Ponta Negra - Castelo (via Boqueirão),33.5
19004960,34676965,1907B,Japeri - Passeio,29.85
18954470,34578029,1703D,Santa Rosa - Vila Isabel (via PPCS),11.75
19021893,34663189,1406I,Duque de Caxias - Piabetá (via Estrada do Bongaba),7.85
29241137,34576979,2125C,Magé - Castelo,19.45
31992301,34663189,2561L,Duque de Caxias - Freguesia (via Linha Amarela),9
39744424,39695499,3402M,Jardim São Lourenço - Niterói (via BR-101),4.3
48093200,37884612,1518B,Heliópolis - Central (via Andrade Araújo),12.5
49877813,41178257,6144R,Niterói - Itaipuaçu Rua 128,16.85
49725318,34688257,1902S,Conceição de Jacareí - Campo Grande,22.3
18939145,34676965,2950C,Duque de Caxias - Castelo (via 25 de Agosto),19.05
39811059,24309028,4545D,Alcântara - Castelo (via Dr. March),14.05
18894819,19828275,1760D,Charitas - Aeroporto Internacional (via Cidade Universitária),14.05
31992044,49684033,4144R,Itaipuaçu - Niterói,16.85
18920650,34664230,2102C,Duque de Caxias - Praça Mauá,9.5
19104305,24309023,1730D,Charitas - Castelo (via Fonseca),15.15
44481826,34684081,4146D,Itaipuaçu - Castelo,33.5
30424298,30175956,1440B,Queimados - Praça Mauá,16.2
49763545,34576963,2904T,Duque de Caxias - Campo Grande,13.35
33169758,34671222,4945I,Niterói - Magé (via Alameda São Boaventura),19.05
18999125,34671711,1413M,Venda das Pedras - Niterói,17.75
18892364,34663979,1402M,Jardim São Lourenço - Niterói (via Porto Velho),5.15
19098967,34663189,4561L,Duque de Caxias - Freguesia,9
36734026,39715192,9721D,Botafogo - Santa Izabel,20.5
19057865,24309030,2425D,Alcântara - Campo Grande (via Vila Militar),18.4
18896278,36682931,1775D,Charitas - Gávea (via  Lapa/Praia de Botafogo),20.4
19087913,34743660,1559B,Parque São Vicente - Passeio,11.7
41111838,34665294,4490B,Miguel Couto - Central (via Luís Lemos),12.25
19013509,34676965,2490B,Miguel Couto - Praça Mauá (via Luís Lemos),33.1
18939037,30174568,1111C,Duque de Caxias - Central (via Linha Vermelha/Av. Brasil),7.4
19107191,30174579,1920D,Pendotiba - Castelo,31.55
31951981,19828274,1905D,Charitas - Castelo (via Ingá/Aeroporto Santos Dumont),15.15
31941920,19828275,2750D,Charitas - Gávea (via Túnel Santa Bárbara),20.4
19066419,41178257,2144R,Maricá - Niterói,16.85
31035961,24309041,5721D,Apolo III - Passeio,20.5
49749742,19828278,1903S,Conceição de Jacareí - Itaguaí,13.85
29227776,19828274,1950C,Duque de Caxias - Praça Mauá (via Vigário Geral),12.8
18938801,34676965,2111C,Duque de Caxias - Castelo (via Vigário Geral),19.05
30764978,34743660,3559B,Parque São Vicente - Central,11.7
31247810,30174574,1951B,Mangaratiba - Castelo,34.15
